#SampleID	Compartment	Type	Treatment
aR1	RACINE	miPEP-A	RACINE-miPEP-A
aR2	RACINE	miPEP-A	RACINE-miPEP-A
aR3	RACINE	miPEP-A	RACINE-miPEP-A
aR4	RACINE	miPEP-A	RACINE-miPEP-A
aR5	RACINE	miPEP-A	RACINE-miPEP-A
aR6	RACINE	miPEP-A	RACINE-miPEP-A
aR7	RACINE	miPEP-A	RACINE-miPEP-A
aR8	RACINE	miPEP-A	RACINE-miPEP-A
bR1	RACINE	miPEP-B	RACINE-miPEP-B
bR2	RACINE	miPEP-B	RACINE-miPEP-B
bR3	RACINE	miPEP-B	RACINE-miPEP-B
bR4	RACINE	miPEP-B	RACINE-miPEP-B
bR5	RACINE	miPEP-B	RACINE-miPEP-B
bR6	RACINE	miPEP-B	RACINE-miPEP-B
bR7	RACINE	miPEP-B	RACINE-miPEP-B
bR8	RACINE	miPEP-B	RACINE-miPEP-B
cR1	RACINE	miPEP-C	RACINE-miPEP-C
cR2	RACINE	miPEP-C	RACINE-miPEP-C
cR3	RACINE	miPEP-C	RACINE-miPEP-C
cR4	RACINE	miPEP-C	RACINE-miPEP-C
cR5	RACINE	miPEP-C	RACINE-miPEP-C
cR6	RACINE	miPEP-C	RACINE-miPEP-C
cR7	RACINE	miPEP-C	RACINE-miPEP-C
cR8	RACINE	miPEP-C	RACINE-miPEP-C
ctrlR1	RACINE	Control-mi-PEP	RACINE-Control-mi-PEP
ctrlR2	RACINE	Control-mi-PEP	RACINE-Control-mi-PEP
ctrlR3	RACINE	Control-mi-PEP	RACINE-Control-mi-PEP
ctrlR4	RACINE	Control-mi-PEP	RACINE-Control-mi-PEP
ctrlR5	RACINE	Control-mi-PEP	RACINE-Control-mi-PEP
ctrlR6	RACINE	Control-mi-PEP	RACINE-Control-mi-PEP
ctrlR7	RACINE	Control-mi-PEP	RACINE-Control-mi-PEP
ctrlR8	RACINE	Control-mi-PEP	RACINE-Control-mi-PEP
aS1	SOL	miPEP-A	SOL-miPEP-A
aS2	SOL	miPEP-A	SOL-miPEP-A
aS3	SOL	miPEP-A	SOL-miPEP-A
aS4	SOL	miPEP-A	SOL-miPEP-A
aS5	SOL	miPEP-A	SOL-miPEP-A
aS6	SOL	miPEP-A	SOL-miPEP-A
aS7	SOL	miPEP-A	SOL-miPEP-A
aS8	SOL	miPEP-A	SOL-miPEP-A
aSN1	SOL.NU	miPEP-A	SOL.NU-miPEP-A
aSN2	SOL.NU	miPEP-A	SOL.NU-miPEP-A
aSN3	SOL.NU	miPEP-A	SOL.NU-miPEP-A
aSN4	SOL.NU	miPEP-A	SOL.NU-miPEP-A
aSN5	SOL.NU	miPEP-A	SOL.NU-miPEP-A
aSN6	SOL.NU	miPEP-A	SOL.NU-miPEP-A
aSN7	SOL.NU	miPEP-A	SOL.NU-miPEP-A
aSN8	SOL.NU	miPEP-A	SOL.NU-miPEP-A
bS1	SOL	miPEP-B	SOL-miPEP-B
bS2	SOL	miPEP-B	SOL-miPEP-B
bS3	SOL	miPEP-B	SOL-miPEP-B
bS4	SOL	miPEP-B	SOL-miPEP-B
bS5	SOL	miPEP-B	SOL-miPEP-B
bS6	SOL	miPEP-B	SOL-miPEP-B
bS7	SOL	miPEP-B	SOL-miPEP-B
bS8	SOL	miPEP-B	SOL-miPEP-B
bSN1	SOL.NU	miPEP-B	SOL.NU-miPEP-B
bSN2	SOL.NU	miPEP-B	SOL.NU-miPEP-B
bSN3	SOL.NU	miPEP-B	SOL.NU-miPEP-B
bSN4	SOL.NU	miPEP-B	SOL.NU-miPEP-B
bSN5	SOL.NU	miPEP-B	SOL.NU-miPEP-B
bSN6	SOL.NU	miPEP-B	SOL.NU-miPEP-B
bSN7	SOL.NU	miPEP-B	SOL.NU-miPEP-B
bSN8	SOL.NU	miPEP-B	SOL.NU-miPEP-B
cS1	SOL	miPEP-C	SOL-miPEP-C
cS2	SOL	miPEP-C	SOL-miPEP-C
cS3	SOL	miPEP-C	SOL-miPEP-C
cS4	SOL	miPEP-C	SOL-miPEP-C
cS5	SOL	miPEP-C	SOL-miPEP-C
cS6	SOL	miPEP-C	SOL-miPEP-C
cS7	SOL	miPEP-C	SOL-miPEP-C
cS8	SOL	miPEP-C	SOL-miPEP-C
cSN1	SOL.NU	miPEP-C	SOL.NU-miPEP-C
cSN2	SOL.NU	miPEP-C	SOL.NU-miPEP-C
cSN3	SOL.NU	miPEP-C	SOL.NU-miPEP-C
cSN4	SOL.NU	miPEP-C	SOL.NU-miPEP-C
cSN5	SOL.NU	miPEP-C	SOL.NU-miPEP-C
cSN6	SOL.NU	miPEP-C	SOL.NU-miPEP-C
cSN7	SOL.NU	miPEP-C	SOL.NU-miPEP-C
cSN8	SOL.NU	miPEP-C	SOL.NU-miPEP-C
ctrlS1	SOL	Control-mi-PEP	SOL-Control-mi-PEP
ctrlS2	SOL	Control-mi-PEP	SOL-Control-mi-PEP
ctrlS3	SOL	Control-mi-PEP	SOL-Control-mi-PEP
ctrlS4	SOL	Control-mi-PEP	SOL-Control-mi-PEP
ctrlS5	SOL	Control-mi-PEP	SOL-Control-mi-PEP
ctrlS6	SOL	Control-mi-PEP	SOL-Control-mi-PEP
ctrlS7	SOL	Control-mi-PEP	SOL-Control-mi-PEP
ctrlS8	SOL	Control-mi-PEP	SOL-Control-mi-PEP
ctrlSN1	SOL.NU	Control-mi-PEP	SOL.NU-Control-mi-PEP
ctrlSN2	SOL.NU	Control-mi-PEP	SOL.NU-Control-mi-PEP
ctrlSN3	SOL.NU	Control-mi-PEP	SOL.NU-Control-mi-PEP
ctrlSN4	SOL.NU	Control-mi-PEP	SOL.NU-Control-mi-PEP
ctrlSN5	SOL.NU	Control-mi-PEP	SOL.NU-Control-mi-PEP
ctrlSN6	SOL.NU	Control-mi-PEP	SOL.NU-Control-mi-PEP
ctrlSN7	SOL.NU	Control-mi-PEP	SOL.NU-Control-mi-PEP
ctrlSN8	SOL.NU	Control-mi-PEP	SOL.NU-Control-mi-PEP
